disease,gene,MultiCens_Score,Fusion_RRF,VQ_star,OpenAI,MedLLaMA,OpenAI_NoCRED,MedLLaMA_NoCRED,Causal_Ratio,label,paper_count,layer_type
Alzheimer,2571,8.32341779832738e-08,0.021081819179008598,0.0,0.0,0.0,0.0,0.0,0.0,0,5,bibliometric_only
Alzheimer,43,0.0008122783145782886,0.09054855834892687,0.9229764058367257,0.0,0.0,0.0,0.0,0.10626702997275204,0,734,bibliometric_only
Alzheimer,1103,0.03985225685066968,0.3478899668718963,0.9433313852148125,0.85,0.5,0.4,0.0,0.14705882352941177,0,136,both_layers
Alzheimer,9463,0.0005010963002051777,0.06825477602600889,0.9043210285595008,0.0,0.0,0.0,0.0,0.08333333333333333,0,12,bibliometric_only
Alzheimer,10376,0.8564471608799258,0.9622019067416092,0.9650449694927944,0.0,0.0,0.0,0.0,0.21428571428571427,0,14,both_layers
Alzheimer,590,0.0009070856942486107,0.10712046555601837,0.9366724236110827,0.85,0.5,0.8,0.9,0.1308016877637131,0,474,bibliometric_only
Alzheimer,4200,1.055082795418627e-07,0.02352168129606782,0.0,0.0,0.0,0.0,0.0,0.0,0,3,bibliometric_only
Alzheimer,11803,0.001377205652221562,0.22459596064079992,0.9094792143631599,0.92,0.9795501637795804,0.9,0.9,0.07692307692307693,0,13,bibliometric_only
Alzheimer,31002,0.0012356081721148482,0.18260583014864554,0.9563689125979914,0.91,0.9420496497983885,0.9,0.9,0.1875,0,16,bibliometric_only
Alzheimer,24854,0.0007994369934595208,0.09065166789512955,0.9281473968420171,0.0,0.0,0.0,0.0,0.15384615384615385,0,13,bibliometric_only
Alzheimer,7306,0.030125483209968586,0.3572087201033225,0.9692570484421504,0.92,0.9958472485440728,0.9,1.0,0.2283464566929134,0,127,both_layers
Alzheimer,4137,0.3320366747235634,0.7382498610715112,0.9638143343261576,0.92,0.9990998693497795,0.9,1.0,0.2118491921005386,0,2228,both_layers
Alzheimer,351,0.8940285124733628,1.0,0.9792766795134566,0.95,0.9998292258688424,0.95,0.0,0.3137179977072984,1,5234,both_layers
Alzheimer,3135,3.373746911365317e-08,0.014552441303381796,0.0,0.0,0.0,0.0,0.0,0.0,0,22,bibliometric_only
Alzheimer,12,0.042961156022825256,0.3695328693196614,0.9683264890184434,0.85,0.6181627068302292,0.4,0.9,0.22950819672131148,0,183,both_layers
Alzheimer,462,0.0009740093920917626,0.12176041053084694,0.9448391081715936,0.0,0.0,0.0,0.0,0.18181818181818182,0,11,bibliometric_only
Alzheimer,567,3.3694019337383956e-08,0.014538627959542107,0.0,0.0,0.0,0.0,0.0,0.0,0,7,bibliometric_only
Alzheimer,2,0.2048367978882906,0.5675300767232966,0.9791421025354048,0.85,0.7691872419767319,0.4,1.0,0.33088235294117646,0,136,both_layers
Alzheimer,3569,0.2138532245500062,0.5661353810623945,0.9576099693350226,0.0,0.0,0.0,0.0,0.17410714285714285,0,224,both_layers
Alzheimer,114766,0.0013562179676622041,0.21232142050282357,0.8332284563588862,0.0,0.0,0.0,0.0,0.07142857142857142,0,14,bibliometric_only
Alzheimer,2670,0.10042307490098168,0.4207616791560246,0.9383479191555737,0.3,0.0,0.4,0.0,0.13297872340425532,0,188,both_layers
Alzheimer,51727,0.0008926187392644414,0.2158815278062488,0.9923452744375617,0.0,0.0,0.0,0.0,0.5714285714285714,0,7,bibliometric_only
Alzheimer,2026,0.0009568711736809879,0.10931115838154835,0.9044557814284234,0.0,0.0,0.0,0.0,0.08108108108108109,0,37,bibliometric_only
Alzheimer,1152,0.001385765916669408,0.23001029613367258,0.9110719830134327,0.0,0.0,0.0,0.0,0.1111111111111111,0,9,bibliometric_only
Alzheimer,947,0.0005220594924596087,0.1335266591799974,0.9852850546908365,0.0,0.0,0.0,0.0,0.3333333333333333,0,3,bibliometric_only
Alzheimer,3688,9.777856693367802e-08,0.02258765822844024,0.0,0.0,0.0,0.0,0.0,0.0,0,4,bibliometric_only
Alzheimer,2246,0.0006740185141898031,0.07942335571152276,0.9168230194532132,0.0,0.0,0.0,0.0,0.1111111111111111,0,9,bibliometric_only
Alzheimer,3240,0.0011691157382119185,0.1506235338157466,0.8613141129389934,0.0,0.0,0.0,0.0,0.07142857142857142,0,14,bibliometric_only
Alzheimer,4155,0.0006306331517681383,0.08081398678611879,0.936137862419385,0.0,0.0,0.0,0.0,0.09523809523809523,0,21,bibliometric_only
Alzheimer,2596,0.0009366204974854153,0.1135436431534091,0.9408690797113254,0.0,0.0,0.0,0.0,0.13793103448275862,0,29,bibliometric_only
Alzheimer,6855,0.0008287246328778878,0.0893397783699887,0.901387866095654,0.0,0.0,0.0,0.0,0.08,0,100,bibliometric_only
Alzheimer,761,3.278029046365749e-10,0.0034022415182536937,0.0,0.0,0.0,0.0,0.0,0.0,0,2,bibliometric_only
Alzheimer,6285,0.0009426340494934086,0.11559587348034739,0.9432694986169933,0.0,0.0,0.0,0.0,0.14035087719298245,0,57,bibliometric_only
Alzheimer,7099,0.0012147321763270377,0.30084156188391553,0.9951535957890378,0.0,0.0,0.0,0.0,0.6666666666666666,0,3,bibliometric_only
Alzheimer,290549,4.361876408051757e-11,0.0020008738105187257,0.0,0.0,0.0,0.0,0.0,0.0,0,2,bibliometric_only
Alzheimer,108348108,1.440396084618475e-08,0.011019904122315401,0.0,0.0,0.0,0.0,0.0,0.0,0,5,bibliometric_only
Alzheimer,54226,0.0009558504067732194,0.12015576874487999,0.9521530348581752,0.85,0.7298945613139478,0.85,1.0,0.1590909090909091,0,616,bibliometric_only
Alzheimer,4129,0.000987194459063518,0.11933010756750775,0.9278697002121983,0.0,0.0,0.0,0.0,0.13114754098360656,0,61,bibliometric_only
Alzheimer,3552,0.0008492976172486604,0.11060662000318228,0.9621818854052854,0.0,0.0,0.0,0.0,0.20394736842105263,0,152,bibliometric_only
Alzheimer,6513,5.691751674268618e-08,0.017751440849925214,0.0,0.0,0.0,0.0,0.0,0.0,0,6,bibliometric_only
Alzheimer,7086,0.0013073133286289032,0.24678767882720604,0.9829482562843446,0.0,0.0,0.0,0.0,0.38461538461538464,0,13,bibliometric_only
Alzheimer,5621,0.2433352960951513,0.6029858147798306,0.9643971940266458,0.85,0.0,0.85,0.0,0.225130890052356,0,191,both_layers
Alzheimer,4804,0.0009408743060060342,0.11960655077174823,0.95375013955444,0.0,0.0,0.0,0.0,0.18867924528301888,0,53,bibliometric_only
Alzheimer,83817,0.0006465199187418917,0.0715966926707456,0.6363427575105105,0.0,0.0,0.0,0.0,0.01675977653631285,0,179,bibliometric_only
Alzheimer,65036,0.00046078801817072947,0.06239679994399528,0.5698026222464739,0.0,0.0,0.0,0.0,0.015151515151515152,0,66,bibliometric_only
Alzheimer,24494,0.0005244911773262323,0.06581194300049269,0.7853147177414681,0.0,0.0,0.0,0.0,0.031746031746031744,0,63,bibliometric_only
Alzheimer,310738,0.0009346968060358447,0.10298747314534344,0.8618548600418416,0.85,0.5,0.85,0.9,0.05806451612903226,0,155,bibliometric_only
Alzheimer,24387,1.6023784747413114e-08,0.011407094411698541,0.0,0.0,0.0,0.0,0.0,0.0,0,55,bibliometric_only
Alzheimer,1410,0.07856489750639303,0.3806226941027037,0.8104793672420282,0.2,0.0,0.3,0.9,0.03333333333333333,0,30,both_layers
Alzheimer,51115,0.0009382109669665578,0.10655112751077232,0.903720263957403,0.0,0.0,0.0,0.0,0.08695652173913043,0,207,bibliometric_only
Alzheimer,3479,0.001075531633097923,0.12955891036492567,0.874074894285119,0.0,0.0,0.0,0.0,0.06896551724137931,0,58,bibliometric_only
Alzheimer,4803,0.000842273329646734,0.09197071360991829,0.9091142852381823,0.0,0.0,0.0,0.0,0.10043668122270742,0,229,bibliometric_only
Alzheimer,4908,0.0010303937930528106,0.1275314357449665,0.9293563688189013,0.0,0.0,0.0,0.0,0.13043478260869565,0,23,bibliometric_only
Alzheimer,627,0.0008626841075057088,0.09811148579076422,0.9306756479435981,0.0,0.0,0.0,0.0,0.12280701754385964,0,114,bibliometric_only
Alzheimer,7421,0.0011817521381069231,0.23003908257328493,0.9882563914236496,0.0,0.0,0.0,0.0,0.5,0,2,bibliometric_only
Alzheimer,1068,4.5106780141464545e-08,0.01628276092260904,0.0,0.0,0.0,0.0,0.0,0.0,0,27,bibliometric_only
Alzheimer,973,0.0009036188683453618,0.1149021302584824,0.9578066456333844,0.0,0.0,0.0,0.0,0.18181818181818182,0,11,bibliometric_only
Alzheimer,6531,0.12670120981031013,0.44472308838007835,0.8874826903890736,0.0,0.0,0.0,0.0,0.08,0,50,both_layers
Alzheimer,4975,9.986640156118864e-09,0.009744122569278087,0.0,0.0,0.0,0.0,0.0,0.0,0,3,bibliometric_only
Alzheimer,11331,0.0010626749068003746,0.1823880694427611,0.9825356855925765,0.0,0.0,0.0,0.0,0.3469387755102041,0,49,bibliometric_only
Alzheimer,712,0.0008466537715705132,0.11310365829752954,0.9650940728694396,0.0,0.0,0.0,0.0,0.21818181818181817,0,55,bibliometric_only
Alzheimer,1950,0.0008264742585192269,0.10772599109932351,0.9623909900096701,0.0,0.0,0.0,0.0,0.1875,0,16,bibliometric_only
Alzheimer,2247,0.0009205158866824149,0.1052550719933271,0.9210955587932617,0.0,0.0,0.0,0.0,0.12121212121212122,0,33,bibliometric_only
Alzheimer,983,0.0010997713633348898,0.1511907481173336,0.9545766772840847,0.0,0.0,0.0,0.0,0.17857142857142858,0,28,bibliometric_only
Alzheimer,4133,0.03727182894891163,0.3306632541370456,0.8768334430215955,0.85,0.0,0.4,0.9,0.07317073170731707,0,82,both_layers
Alzheimer,24413,2.4939403067666493e-10,0.003211132507604822,0.0,0.0,0.0,0.0,0.0,0.0,0,5,bibliometric_only
Alzheimer,6863,0.0008808015427099216,0.09432239698028388,0.8801969121481833,0.0,0.0,0.0,0.0,0.06382978723404255,0,47,bibliometric_only
Alzheimer,2357,5.673496916925918e-08,0.017700177608691876,0.0,0.0,0.0,0.0,0.0,0.0,0,5,bibliometric_only
Alzheimer,5265,0.0007942353659005127,0.08889704816930165,0.9222474038349054,0.0,0.0,0.0,0.0,0.09375,0,32,bibliometric_only
Alzheimer,290567,0.0010789328959580845,0.1290140648403477,0.3546706761207619,0.0,0.0,0.0,0.0,0.00684931506849315,0,146,bibliometric_only
Alzheimer,6853,0.0005215785574524936,0.06831484324429982,0.8897138350101644,0.0,0.0,0.0,0.0,0.06666666666666667,0,15,bibliometric_only
Alzheimer,5524,0.0010283219605735391,0.12359351814393804,0.9098688879174864,0.0,0.0,0.0,0.0,0.0975609756097561,0,41,bibliometric_only
Alzheimer,1508,0.11555554177595928,0.48471604696945125,0.9831796983682585,0.75,0.7266488980928484,0.3,0.0,0.34285714285714286,0,70,both_layers
Alzheimer,81822,7.820989672820359e-08,0.02024467120663086,0.0,0.0,0.0,0.0,0.0,0.0,0,4,bibliometric_only
Alzheimer,111343,0.0009736640469446291,0.14764913467897675,0.9746119282616582,0.0,0.0,0.0,0.0,0.2857142857142857,0,7,bibliometric_only
Alzheimer,3553,0.2745079503307648,0.6309710054229786,0.9090742330745039,0.85,0.5,0.85,0.9,0.08968609865470852,0,223,both_layers
Alzheimer,25595,0.001200546840831926,0.15583719982707978,0.7748555887861059,0.0,0.0,0.0,0.0,0.02631578947368421,0,38,bibliometric_only
